Labels,CdSe_190822 Absorbance (T) (260822),
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,700.00,
Step,1.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,n/a,
Repeats,3,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.500,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

684.00,-7.38547184E-3,
685.00,-7.86239468E-3,
686.00,-7.61592621E-3,
687.00,-7.37195788E-3,
688.00,-7.55906291E-3,
689.00,-7.69678224E-3,
690.00,-7.99800642E-3,
691.00,-8.21109954E-3,
692.00,-8.30450282E-3,
693.00,-8.37981794E-3,
694.00,-8.19097832E-3,
695.00,-8.16211291E-3,
696.00,-8.20277818E-3,
697.00,-8.51179380E-3,
698.00,-8.55865702E-3,
699.00,-8.63572955E-3,
700.00,-8.72656703E-3,
