Labels,CdSe_23082022(19,
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,700.00,
Step,1.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,False,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.500,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

590.00,-5.36816418E-2,
591.00,-5.36686592E-2,
592.00,-5.33911586E-2,
593.00,-5.34680970E-2,
594.00,-5.37212491E-2,
595.00,-5.37248552E-2,
596.00,-5.38056381E-2,
597.00,-5.37422597E-2,
598.00,-5.40995374E-2,
599.00,-5.40028214E-2,
600.00,-5.39837331E-2,
601.00,-5.42266332E-2,
602.00,-5.40243909E-2,
603.00,-5.34238480E-2,
604.00,-5.24017178E-2,
605.00,-5.18052578E-2,
606.00,-5.12869172E-2,
607.00,-5.08326143E-2,
608.00,-5.06130271E-2,
609.00,-5.09332046E-2,
610.00,-5.06965704E-2,
611.00,-4.74142432E-2,
612.00,-4.74142432E-2,
613.00,-4.84399088E-2,
614.00,-4.87584099E-2,
615.00,-4.85518463E-2,
616.00,-4.80253510E-2,
617.00,-4.77222838E-2,
618.00,-4.71012369E-2,
619.00,-4.73149419E-2,
620.00,-4.73826714E-2,
621.00,-4.69808578E-2,
622.00,-4.68380190E-2,
623.00,-4.74246517E-2,
624.00,-4.80223969E-2,
625.00,-4.84386720E-2,
626.00,-4.82371226E-2,
627.00,-4.73856628E-2,
628.00,-4.81761508E-2,
629.00,-4.82358262E-2,
630.00,-4.76395041E-2,
631.00,-4.73904572E-2,
632.00,-4.68726233E-2,
633.00,-4.70700152E-2,
634.00,-4.71891202E-2,
635.00,-4.71561849E-2,
636.00,-4.71223705E-2,
637.00,-4.67687771E-2,
638.00,-4.64052074E-2,
639.00,-4.57757749E-2,
640.00,-4.54392768E-2,
641.00,-4.59291153E-2,
642.00,-4.64049242E-2,
643.00,-4.64929603E-2,
644.00,-4.58877794E-2,
645.00,-4.49162237E-2,
646.00,-4.38472442E-2,
647.00,-4.33583558E-2,
648.00,-4.28799950E-2,
649.00,-4.44332659E-2,
650.00,-4.46113013E-2,
651.00,-4.55493964E-2,
652.00,-4.56180461E-2,
653.00,-4.51815389E-2,
654.00,-4.54438068E-2,
655.00,-4.48532179E-2,
656.00,-4.47342135E-2,
657.00,-4.43039574E-2,
658.00,-4.32197191E-2,
659.00,-4.35228422E-2,
660.00,-4.36200015E-2,
661.00,-4.32394408E-2,
662.00,-4.30473760E-2,
663.00,-4.24896963E-2,
664.00,-4.25278991E-2,
665.00,-4.17533703E-2,
666.00,-4.13180441E-2,
667.00,-4.08425406E-2,
668.00,-4.10060249E-2,
669.00,-4.09160294E-2,
670.00,-4.12288308E-2,
671.00,-4.13034856E-2,
672.00,-4.08885032E-2,
673.00,-4.02081087E-2,
674.00,-4.01793644E-2,
675.00,-4.01748009E-2,
676.00,-4.21702415E-2,
677.00,-4.19187844E-2,
678.00,-4.15887646E-2,
679.00,-4.11511436E-2,
680.00,-3.98773514E-2,
681.00,-3.96353938E-2,
682.00,-3.56367268E-2,
683.00,-3.50013971E-2,
684.00,-3.70116122E-2,
685.00,-3.64167914E-2,
686.00,-3.58583890E-2,
687.00,-3.44438255E-2,
688.00,-3.28309238E-2,
689.00,-3.36490571E-2,
690.00,-3.50999087E-2,
691.00,-3.61861475E-2,
692.00,-3.67637351E-2,
693.00,-3.75580750E-2,
694.00,-3.75382863E-2,
695.00,-3.75176072E-2,
696.00,-3.74986902E-2,
697.00,-3.66383567E-2,
698.00,-3.67726684E-2,
699.00,-3.68539914E-2,
700.00,-3.69526967E-2,
