Labels,CdSe-CdZnS_26082022 Emission,
Type,Emission Scan,
Comment,Range = [550.00 - 700.00] nm; Peak at 622.00 nm; FWHM = 22.06 nm; Color Coordinates (CIE 1931): x = 0.6854 y = 0.3145,
Start,380.00,
Stop,750.00,
Step,1.00,
Fixed/Offset,350.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.49984244,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,0.49984244,
Detector,Detector 1,

660.00,4.87082344E+4,
661.00,4.61311211E+4,
662.00,4.58758477E+4,
663.00,4.22800820E+4,
664.00,3.13775703E+4,
665.00,3.34280313E+4,
666.00,2.94173730E+4,
667.00,3.26551289E+4,
668.00,2.42290215E+4,
669.00,2.13643105E+4,
670.00,2.42117344E+4,
671.00,1.94497676E+4,
672.00,1.61906152E+4,
673.00,2.17833223E+4,
674.00,1.42815527E+4,
675.00,1.72113125E+4,
676.00,1.18362061E+4,
677.00,1.04563330E+4,
678.00,1.30110439E+4,
679.00,1.31693896E+4,
680.00,9.40228320E+3,
681.00,8.80496094E+3,
682.00,6.32552637E+3,
683.00,1.11450264E+4,
684.00,5.28060596E+3,
685.00,6.80579736E+3,
686.00,7.13888867E+3,
687.00,4.73797705E+3,
688.00,2.77887256E+3,
689.00,2.81607764E+3,
690.00,4.14838232E+3,
691.00,2.62628198E+3,
692.00,2.12908032E+3,
693.00,3.77661401E+3,
694.00,1.91413892E+3,
695.00,1.38576428E+3,
696.00,1.96644275E+3,
697.00,2.27797168E+3,
698.00,2.30919775E+3,
699.00,3.51142896E+3,
700.00,1.48399243E+3,
701.00,1.20264343E+3,
702.00,1.52415759E+3,
703.00,9.26997437E+2,
704.00,0.00000000E+0,
705.00,1.58928516E+3,
706.00,2.90066748E+3,
707.00,2.61321606E+3,
708.00,2.31677710E+3,
709.00,6.71384583E+2,
710.00,-3.40321686E+2,
711.00,2.07198633E+3,
712.00,3.15274756E+3,
713.00,-3.55409393E+2,
714.00,3.60542358E+2,
715.00,1.09715820E+3,
716.00,1.11387927E+3,
717.00,1.88295593E+3,
718.00,1.14640479E+3,
719.00,-3.87439453E+2,
720.00,2.75080664E+3,
721.00,0.00000000E+0,
722.00,0.00000000E+0,
723.00,3.69091406E+3,
724.00,2.08018335E+3,
725.00,0.00000000E+0,
726.00,-8.56407288E+2,
727.00,0.00000000E+0,
728.00,2.20262671E+3,
729.00,-4.46879639E+2,
730.00,4.98262793E+3,
731.00,-9.18957642E+2,
732.00,-9.32218445E+2,
733.00,9.45975830E+2,
734.00,1.43845032E+3,
735.00,0.00000000E+0,
736.00,2.46440649E+3,
737.00,4.99736603E+2,
738.00,5.06730804E+2,
739.00,5.14130188E+2,
740.00,5.21684692E+2,
741.00,1.58850867E+3,
742.00,1.61059424E+3,
743.00,0.00000000E+0,
744.00,5.51863098E+2,
745.00,-5.59668030E+2,
746.00,-1.13666919E+3,
747.00,0.00000000E+0,
748.00,4.09069531E+3,
749.00,0.00000000E+0,
750.00,1.20016382E+3,
