Labels,050922_CdSeCdZnS_Shell Absorbance (T),
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,720.00,
Step,1.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.00,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

571.00,4.13091257E-2,
572.00,4.03364077E-2,
573.00,3.80876362E-2,
574.00,3.71632315E-2,
575.00,3.51955332E-2,
576.00,3.31265591E-2,
577.00,3.15377899E-2,
578.00,3.15154009E-2,
579.00,3.05864178E-2,
580.00,2.83643994E-2,
581.00,2.66865883E-2,
582.00,2.42701061E-2,
583.00,2.41693053E-2,
584.00,2.47127451E-2,
585.00,2.31275875E-2,
586.00,2.21170411E-2,
587.00,2.12616622E-2,
588.00,2.08976865E-2,
589.00,2.11873706E-2,
590.00,2.07613762E-2,
591.00,2.09172163E-2,
592.00,2.12206710E-2,
593.00,2.01581288E-2,
594.00,2.06086449E-2,
595.00,2.11263970E-2,
596.00,2.22412851E-2,
597.00,2.23089494E-2,
598.00,2.36437004E-2,
599.00,2.45566405E-2,
600.00,2.58147977E-2,
601.00,2.67053694E-2,
602.00,2.78091040E-2,
603.00,2.84870267E-2,
604.00,3.00490353E-2,
605.00,3.23199630E-2,
606.00,3.38828042E-2,
607.00,3.45734879E-2,
608.00,3.61530595E-2,
609.00,3.73098776E-2,
610.00,3.76614593E-2,
611.00,3.77120413E-2,
612.00,3.87221761E-2,
613.00,3.85342650E-2,
614.00,3.81921604E-2,
615.00,3.78995016E-2,
616.00,3.64662483E-2,
617.00,3.41700315E-2,
618.00,3.23127061E-2,
619.00,3.04535925E-2,
620.00,2.74604578E-2,
621.00,2.51076352E-2,
622.00,2.16256417E-2,
623.00,1.91301368E-2,
624.00,1.45026427E-2,
625.00,1.31939650E-2,
626.00,1.16165699E-2,
627.00,9.49778873E-3,
628.00,6.74366066E-3,
629.00,5.00674360E-3,
630.00,2.67653703E-3,
631.00,2.07392988E-3,
632.00,2.50677322E-3,
633.00,3.12498095E-3,
634.00,1.33816409E-3,
635.00,5.50414668E-4,
636.00,3.50108661E-4,
637.00,-5.81818931E-5,
638.00,-6.23888802E-4,
639.00,-8.51110381E-4,
640.00,-1.35026150E-3,
641.00,-1.35792163E-3,
642.00,-1.48236228E-3,
643.00,-1.49776216E-3,
644.00,-1.85470143E-3,
645.00,-1.81826553E-3,
646.00,-2.06127344E-3,
647.00,-2.07963656E-3,
648.00,-1.96359307E-3,
649.00,-2.28747702E-3,
650.00,-2.02305173E-3,
651.00,-2.55531305E-3,
652.00,-2.70862319E-3,
653.00,-2.03882484E-3,
654.00,-1.87042356E-3,
655.00,-1.67389610E-3,
656.00,-1.83336332E-3,
657.00,-1.83915044E-3,
