Labels,050922-45dk Absorbance (T),
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,720.00,
Step,1.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.00,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

565.00,-1.52049186E-2,
566.00,-1.55518726E-2,
567.00,-1.60228088E-2,
568.00,-1.53572261E-2,
569.00,-1.51149835E-2,
570.00,-1.54524781E-2,
571.00,-1.55126434E-2,
572.00,-1.59829650E-2,
573.00,-1.61478426E-2,
574.00,-1.64119191E-2,
575.00,-1.57403797E-2,
576.00,-1.55068403E-2,
577.00,-1.60737447E-2,
578.00,-1.57645997E-2,
579.00,-1.54890371E-2,
580.00,-1.57167669E-2,
581.00,-1.61421932E-2,
582.00,-1.63128357E-2,
583.00,-1.66960601E-2,
584.00,-1.63075998E-2,
585.00,-1.60573050E-2,
586.00,-1.70675088E-2,
587.00,-1.68984924E-2,
588.00,-1.61527358E-2,
589.00,-1.72476806E-2,
590.00,-1.63042024E-2,
591.00,-1.82737429E-2,
592.00,-1.78073905E-2,
593.00,-1.75146591E-2,
594.00,-1.77596640E-2,
595.00,-1.73623282E-2,
596.00,-1.80102270E-2,
597.00,-1.79380365E-2,
598.00,-1.67672262E-2,
599.00,-1.76249072E-2,
600.00,-1.75778512E-2,
601.00,-1.82061661E-2,
602.00,-1.81183331E-2,
603.00,-1.70925707E-2,
604.00,-1.79290194E-2,
605.00,-1.68389957E-2,
606.00,-1.65167674E-2,
607.00,-1.72741357E-2,
608.00,-1.75107978E-2,
609.00,-1.76924635E-2,
610.00,-1.79417338E-2,
611.00,-1.81223396E-2,
612.00,-1.76449660E-2,
613.00,-1.68933235E-2,
614.00,-1.69362612E-2,
615.00,-1.73858684E-2,
616.00,-1.69112105E-2,
617.00,-1.83031131E-2,
618.00,-1.77866314E-2,
619.00,-1.75448470E-2,
620.00,-1.80632342E-2,
621.00,-1.83756035E-2,
622.00,-1.83755551E-2,
623.00,-1.79979336E-2,
624.00,-1.76316369E-2,
625.00,-1.90389156E-2,
626.00,-1.86628550E-2,
627.00,-1.77378021E-2,
628.00,-1.83720719E-2,
629.00,-1.79409813E-2,
630.00,-1.82469320E-2,
631.00,-1.75928660E-2,
632.00,-1.78993847E-2,
633.00,-1.83508471E-2,
634.00,-1.84512381E-2,
635.00,-1.81473903E-2,
636.00,-1.80870574E-2,
637.00,-1.82366967E-2,
638.00,-1.77886598E-2,
639.00,-1.83678679E-2,
640.00,-1.77110117E-2,
641.00,-1.80567857E-2,
642.00,-1.70878861E-2,
643.00,-1.82718560E-2,
644.00,-1.74033828E-2,
645.00,-1.80533696E-2,
646.00,-1.81965791E-2,
647.00,-1.75159220E-2,
648.00,-1.76671669E-2,
649.00,-1.75164808E-2,
650.00,-1.80744454E-2,
651.00,-1.83770116E-2,
