Labels,050922_CdSeCdZnS_Shell3 Absorbance (T),
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,720.00,
Step,1.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.00,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

581.00,1.01818226E-1,
582.00,9.79640931E-2,
583.00,9.45065096E-2,
584.00,9.17360783E-2,
585.00,8.97208154E-2,
586.00,8.76515061E-2,
587.00,8.47101063E-2,
588.00,8.34865123E-2,
589.00,8.20728093E-2,
590.00,8.18362162E-2,
591.00,8.11618045E-2,
592.00,8.11497197E-2,
593.00,8.17548558E-2,
594.00,8.33316594E-2,
595.00,8.48570094E-2,
596.00,8.62429589E-2,
597.00,8.80181715E-2,
598.00,9.16077942E-2,
599.00,9.42937583E-2,
600.00,9.77121964E-2,
601.00,1.00127295E-1,
602.00,1.05169430E-1,
603.00,1.10292748E-1,
604.00,1.14496179E-1,
605.00,1.18659742E-1,
606.00,1.23293363E-1,
607.00,1.28020003E-1,
608.00,1.32707044E-1,
609.00,1.35989040E-1,
610.00,1.39832035E-1,
611.00,1.42014503E-1,
612.00,1.43489391E-1,
613.00,1.44813851E-1,
614.00,1.44875377E-1,
615.00,1.41137004E-1,
616.00,1.36830702E-1,
617.00,1.31234065E-1,
618.00,1.23968974E-1,
619.00,1.17093086E-1,
620.00,1.06619775E-1,
621.00,9.72365066E-2,
622.00,8.70075375E-2,
623.00,7.60217533E-2,
624.00,6.50676265E-2,
625.00,5.71260527E-2,
626.00,4.81767058E-2,
627.00,4.00467291E-2,
628.00,3.29232439E-2,
629.00,2.70424094E-2,
630.00,2.14979630E-2,
631.00,1.84111036E-2,
632.00,1.45463357E-2,
633.00,1.11030191E-2,
634.00,8.66062474E-3,
635.00,6.87063392E-3,
636.00,5.44007681E-3,
637.00,4.29389905E-3,
638.00,2.96512991E-3,
639.00,2.04748614E-3,
640.00,1.89426879E-3,
641.00,1.27442332E-3,
642.00,9.00888059E-4,
643.00,4.58142968E-5,
644.00,8.11985752E-4,
645.00,-2.54837971E-4,
646.00,-1.06186408E-3,
647.00,-1.57109532E-3,
648.00,-1.68062083E-3,
649.00,-2.14920379E-3,
650.00,-1.63932098E-3,
651.00,-2.64887279E-3,
652.00,-1.98955648E-3,
653.00,-9.40255704E-4,
654.00,-1.71586173E-3,
655.00,-2.07014661E-3,
656.00,-2.49596359E-3,
657.00,-1.22858351E-3,
658.00,-2.01752828E-3,
659.00,-2.00464623E-3,
660.00,-1.59529480E-3,
661.00,-2.63099908E-3,
662.00,-2.95192748E-3,
663.00,-3.45433829E-3,
664.00,-2.83505302E-3,
665.00,-2.49857409E-3,
666.00,-2.84180092E-3,
667.00,-4.22952138E-3,
668.00,-2.94709974E-3,
669.00,-3.16367880E-3,
670.00,-3.47251864E-3,
671.00,-1.91225833E-3,
672.00,-3.02937417E-3,
673.00,-3.80811631E-3,
674.00,-3.87760741E-3,
675.00,-3.62250488E-3,
676.00,-2.48822500E-3,
677.00,-2.41817394E-3,
678.00,-2.19857250E-3,
679.00,-1.67564605E-3,
680.00,-1.84091320E-3,
681.00,-5.37306711E-4,
682.00,-3.08481720E-3,
683.00,-2.64267158E-3,
684.00,-2.32659024E-3,
685.00,-2.90430244E-3,
686.00,-2.46741017E-3,
687.00,-3.09285219E-3,
688.00,-3.00198258E-3,
689.00,-3.71085433E-3,
690.00,-3.89963808E-3,
691.00,-3.82619351E-3,
692.00,-3.76417954E-3,
693.00,-3.48655158E-3,
694.00,-2.62630964E-3,
695.00,-2.77458201E-3,
696.00,-2.22464325E-3,
697.00,-1.29931455E-3,
698.00,-3.13230441E-3,
699.00,-3.42688034E-3,
700.00,-3.40507436E-3,
701.00,-3.43711278E-3,
702.00,-3.69851873E-3,
703.00,-2.99495785E-3,
704.00,-3.21948878E-3,
705.00,-2.70357216E-3,
706.00,-3.21262702E-3,
707.00,-3.48852598E-3,
708.00,-2.52708769E-3,
709.00,-1.64981303E-3,
710.00,-1.99246220E-3,
711.00,-4.57646325E-3,
712.00,-4.04706318E-3,
713.00,-4.63904254E-3,
714.00,-5.01945801E-3,
715.00,-3.82487103E-3,
716.00,-3.71322711E-3,
717.00,-4.01027035E-3,
718.00,-3.52443708E-3,
719.00,-3.69629916E-3,
720.00,-3.12973629E-3,
