Labels,CdSe_NPL_220722 Absorbance (T),
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,700.00,
Step,1.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.00,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

642.00,-2.81427056E-3,
643.00,-2.99984450E-3,
644.00,-2.78062839E-3,
645.00,-3.14577110E-3,
646.00,-3.18211038E-3,
647.00,-2.86835711E-3,
648.00,-3.44616757E-3,
649.00,-3.49024101E-3,
650.00,-3.06515186E-3,
651.00,-3.11252940E-3,
652.00,-3.10338708E-3,
653.00,-3.39962565E-3,
654.00,-3.14213918E-3,
655.00,-3.51730594E-3,
656.00,-3.72613291E-3,
657.00,-2.99312617E-3,
658.00,-3.18617350E-3,
659.00,-3.47079663E-3,
660.00,-3.23347631E-3,
661.00,-3.36687104E-3,
662.00,-2.98809912E-3,
663.00,-2.76475120E-3,
664.00,-3.28428973E-3,
665.00,-2.83024879E-3,
666.00,-2.96390476E-3,
667.00,-3.81542603E-3,
668.00,-3.53764975E-3,
669.00,-3.84219526E-3,
670.00,-3.98865528E-3,
671.00,-3.42076155E-3,
672.00,-3.65887443E-3,
673.00,-3.93201364E-3,
674.00,-3.77771235E-3,
675.00,-3.82168801E-3,
676.00,-3.48762074E-3,
677.00,-3.53814499E-3,
678.00,-3.51330382E-3,
679.00,-3.49772791E-3,
680.00,-2.89986865E-3,
681.00,-3.28421686E-3,
682.00,-3.60204279E-3,
683.00,-2.98824348E-3,
684.00,-3.51699837E-3,
685.00,-2.99052219E-3,
686.00,-3.15259909E-3,
687.00,-2.89055961E-3,
688.00,-2.97440449E-3,
689.00,-3.24968016E-3,
690.00,-3.04934755E-3,
691.00,-2.89062178E-3,
692.00,-3.18959332E-3,
693.00,-2.97433184E-3,
694.00,-3.07373377E-3,
695.00,-2.86525092E-3,
696.00,-3.04093026E-3,
697.00,-3.09507526E-3,
698.00,-3.55074438E-3,
699.00,-3.29955551E-3,
700.00,-3.49564711E-3,
