Labels,CdSe sample-ue-060922 Absorbance (T),
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,600.00,
Step,1.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.00,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

569.00,7.52457231E-2,
570.00,7.40801394E-2,
571.00,7.12627172E-2,
572.00,6.99473172E-2,
573.00,6.72701597E-2,
574.00,6.52191564E-2,
575.00,6.38266578E-2,
576.00,6.20815679E-2,
577.00,6.09309375E-2,
578.00,5.94557486E-2,
579.00,5.87482564E-2,
580.00,5.79924621E-2,
581.00,5.69557548E-2,
582.00,5.58932684E-2,
583.00,5.48691005E-2,
584.00,5.35739772E-2,
585.00,5.26526161E-2,
586.00,5.11813127E-2,
587.00,5.01786619E-2,
588.00,4.96243984E-2,
589.00,4.79080789E-2,
590.00,4.69555967E-2,
591.00,4.49730568E-2,
592.00,4.34535928E-2,
593.00,4.38104719E-2,
594.00,4.30819616E-2,
595.00,4.21388932E-2,
596.00,4.08858359E-2,
597.00,3.98968011E-2,
598.00,3.86166312E-2,
599.00,3.74876112E-2,
600.00,3.69381942E-2,
