Labels,CdSe-2508-50mikron-3 Absorbance (T),
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,700.00,
Step,1.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.500,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

652.00,-2.17002118E-3,
653.00,-2.23604799E-3,
654.00,-2.03427719E-3,
655.00,-1.32585832E-4,
656.00,-1.57110405E-3,
657.00,-2.01994879E-3,
658.00,-1.26434059E-3,
659.00,-9.48970963E-4,
660.00,-1.06992251E-4,
661.00,-1.07625080E-3,
662.00,-1.92935136E-3,
663.00,-2.29820865E-3,
664.00,-1.55593513E-3,
665.00,-1.29271985E-3,
666.00,-1.30249280E-3,
667.00,-2.29602214E-3,
668.00,-2.51749437E-3,
669.00,-2.00535497E-3,
670.00,-1.75399298E-3,
671.00,-2.17206799E-3,
672.00,-2.33279448E-3,
673.00,-1.46095443E-3,
674.00,-1.20626134E-3,
675.00,-2.36070435E-3,
676.00,-2.12272699E-3,
677.00,-2.13587657E-3,
678.00,-1.77031453E-3,
679.00,-2.27087503E-3,
680.00,-2.35920982E-3,
681.00,-2.59167072E-3,
682.00,-3.36798024E-3,
683.00,-3.29991942E-3,
684.00,-2.77781556E-3,
685.00,-2.79705669E-3,
686.00,-2.36336212E-3,
687.00,-2.73264269E-3,
688.00,-3.30422376E-3,
689.00,-2.69249524E-3,
690.00,-2.57412647E-3,
691.00,-2.09160778E-3,
692.00,-2.74943653E-3,
693.00,-2.22214963E-3,
694.00,-2.73689139E-3,
695.00,-2.70858058E-3,
696.00,-1.11651083E-3,
697.00,-7.00231874E-4,
698.00,-1.29386201E-3,
699.00,-1.02540967E-3,
700.00,-1.69406610E-3,
