Labels,29082022_CoreCdSe Absorbance (T),
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,700.00,
Step,1.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.500,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

634.00,-8.71923566E-3,
635.00,-8.73140711E-3,
636.00,-9.51696653E-3,
637.00,-8.90533067E-3,
638.00,-8.35197791E-3,
639.00,-7.66447932E-3,
640.00,-8.53691436E-3,
641.00,-8.98889173E-3,
642.00,-8.80320463E-3,
643.00,-8.48094933E-3,
644.00,-8.71822238E-3,
645.00,-8.86018854E-3,
646.00,-8.04939959E-3,
647.00,-8.05909652E-3,
648.00,-8.11616983E-3,
649.00,-8.34803749E-3,
650.00,-8.77823122E-3,
651.00,-8.84313043E-3,
652.00,-8.52429867E-3,
653.00,-8.91345553E-3,
654.00,-8.84546153E-3,
655.00,-8.59463774E-3,
656.00,-8.91220476E-3,
657.00,-9.48774070E-3,
658.00,-9.51357931E-3,
659.00,-8.94218124E-3,
660.00,-8.13361350E-3,
661.00,-8.74994695E-3,
662.00,-8.96046776E-3,
663.00,-8.49620532E-3,
664.00,-8.08328576E-3,
665.00,-8.55711475E-3,
666.00,-8.24095309E-3,
667.00,-8.30458663E-3,
668.00,-8.28129798E-3,
669.00,-8.47660098E-3,
670.00,-8.68321862E-3,
671.00,-8.64683837E-3,
672.00,-8.52470659E-3,
673.00,-8.16150196E-3,
674.00,-7.53738871E-3,
675.00,-7.56484037E-3,
676.00,-7.96589069E-3,
677.00,-6.90766424E-3,
678.00,-7.64956279E-3,
679.00,-7.90842716E-3,
680.00,-8.33136588E-3,
681.00,-8.29644781E-3,
682.00,-6.66081253E-3,
683.00,-6.79722568E-3,
684.00,-7.75648188E-3,
685.00,-7.71229900E-3,
686.00,-7.89473206E-3,
687.00,-7.42212031E-3,
688.00,-6.66377833E-3,
689.00,-6.85036881E-3,
690.00,-6.83571631E-3,
691.00,-7.38595566E-3,
692.00,-8.13531503E-3,
693.00,-8.21534637E-3,
694.00,-8.52861814E-3,
695.00,-8.37467052E-3,
696.00,-8.41487944E-3,
697.00,-8.36725812E-3,
698.00,-8.47690459E-3,
699.00,-8.39131325E-3,
700.00,-8.32789205E-3,
