Labels,29082022_CoreCrown1 Absorbance (T),
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,700.00,
Step,1.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.500,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

658.00,2.00093687E-2,
659.00,1.99508201E-2,
660.00,1.97330732E-2,
661.00,1.90791842E-2,
662.00,1.99327059E-2,
663.00,1.99622568E-2,
664.00,1.96455177E-2,
665.00,1.88656319E-2,
666.00,1.84840430E-2,
667.00,1.85584854E-2,
668.00,1.88458823E-2,
669.00,1.82500612E-2,
670.00,1.79231334E-2,
671.00,1.87925100E-2,
672.00,1.90834124E-2,
673.00,1.89192072E-2,
674.00,1.84842404E-2,
675.00,1.76356547E-2,
676.00,1.68637820E-2,
677.00,1.69782750E-2,
678.00,1.72223244E-2,
679.00,1.71605758E-2,
680.00,1.74311679E-2,
681.00,1.66817438E-2,
682.00,1.70467794E-2,
683.00,1.79809164E-2,
684.00,1.70141049E-2,
685.00,1.64948348E-2,
686.00,1.75002068E-2,
687.00,1.70581602E-2,
688.00,1.70052201E-2,
689.00,1.71949398E-2,
690.00,1.69309955E-2,
691.00,1.66910049E-2,
692.00,1.65256467E-2,
693.00,1.64988004E-2,
694.00,1.67653579E-2,
695.00,1.62037760E-2,
696.00,1.67667922E-2,
697.00,1.65424962E-2,
698.00,1.66059230E-2,
699.00,1.59534011E-2,
700.00,1.55910738E-2,
