Labels,26082022-coreshell Absorbance (T),
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,700.00,
Step,1.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.500,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

675.00,-6.84063882E-3,
676.00,-6.38430845E-3,
677.00,-6.30670832E-3,
678.00,-6.40478777E-3,
679.00,-6.93758763E-3,
680.00,-7.20358687E-3,
681.00,-7.13277422E-3,
682.00,-5.48045011E-3,
683.00,-5.18540805E-3,
684.00,-5.88874426E-3,
685.00,-6.48555253E-3,
686.00,-6.27485104E-3,
687.00,-5.89940930E-3,
688.00,-4.52813134E-3,
689.00,-4.77462681E-3,
690.00,-5.33868419E-3,
691.00,-5.45057701E-3,
692.00,-6.06268691E-3,
693.00,-5.88916056E-3,
694.00,-6.45802915E-3,
695.00,-6.80331746E-3,
696.00,-6.71621971E-3,
697.00,-6.54593529E-3,
698.00,-5.84344380E-3,
699.00,-6.43569883E-3,
700.00,-5.74741513E-3,
